t,p,token_id
2023-03-21 00:00:35,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-03-23 00:00:39,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-03-24 00:00:48,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-03-25 00:00:22,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-03-26 00:00:06,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-03-27 00:00:45,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-03-28 00:00:19,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-03-29 00:00:49,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-03-30 00:00:16,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-03-31 00:00:17,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-01 00:00:48,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-02 00:00:52,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-03 00:00:00,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-04 00:00:35,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-05 00:00:24,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-08 00:00:08,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-09 00:00:48,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-10 00:00:31,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-11 00:00:29,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-12 00:00:03,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-13 00:00:22,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-14 00:00:30,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-15 00:00:26,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
